Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3, Node4, Magnitude4, Angle4, pu4
"B2031", 0, 1,     228.62,   -0.4,         0, 2,    228.492, -120.5,         0, 3,    228.233,  119.5,         0, 4,   0.622443,  -30.9,         0
"B1646", 0, 1,    228.038,   -0.6,         0, 2,     225.78, -120.8,         0, 3,    227.778,  119.3,         0, 4,    2.66363,  -99.4,         0
"B2877", 0, 1,    228.038,   -0.6,         0, 2,     225.78, -120.8,         0, 3,    227.778,  119.3,         0, 4,    2.66363,  -99.4,         0
"B764", 0, 1,     228.62,   -0.4,         0, 2,    228.492, -120.5,         0, 3,    228.233,  119.5,         0, 4,   0.622394,  -30.9,         0
"B2254", 0, 1,    229.447,   -0.3,         0, 2,    229.248, -120.4,         0, 3,    228.638,  119.5,         0, 4,   0.318763,  -11.2,         0
"B264", 0, 1,    218.421,   -2.3,         0, 2,    226.356, -120.7,         0, 3,    222.464,  119.1,         0, 4,    4.26844,  -18.1,         0
"B1230", 0, 1,    218.421,   -2.3,         0, 2,    226.356, -120.7,         0, 3,    222.464,  119.1,         0, 4,    4.26844,  -18.1,         0
"B1530", 0, 1,    225.014,   -0.9,         0, 2,    224.028, -121.2,         0, 3,    226.597,  119.3,         0, 4,    3.21033,  -85.2,         0
"B1534", 0, 1,    225.019,   -0.9,         0, 2,    224.597, -121.2,         0, 3,    226.595,  119.3,         0, 4,    2.74725,  -78.9,         0
"B411", 0, 1,    214.592,   -3.1,         0, 2,    226.798, -120.8,         0, 3,    220.747,  118.9,         0, 4,    6.07457,   -6.9,         0
"B521", 0, 1,    214.966,   -3.1,         0, 2,    226.788, -120.8,         0, 3,    220.747,  118.9,         0, 4,    5.71717,   -7.4,         0
"B2802", 0, 1,    224.319,   -1.0,         0, 2,    223.508, -121.4,         0, 3,    226.059,  119.3,         0, 4,    3.28011,  -87.6,         0
"B1531", 0, 1,    224.322,   -1.0,         0, 2,    223.764, -121.4,         0, 3,    226.058,  119.3,         0, 4,    3.06271,  -85.2,         0
"B2008", 0, 1,    213.318,   -3.6,         0, 2,    226.406, -120.8,         0, 3,    218.802,  118.6,         0, 4,    5.40164,   -7.7,         0
"B1253", 0, 1,    213.188,   -3.6,         0, 2,    226.404, -120.8,         0, 3,     218.74,  118.6,         0, 4,     5.4561,   -7.6,         0
"B470", 0, 1,    213.514,   -3.5,         0, 2,    226.474, -120.8,         0, 3,    218.904,  118.6,         0, 4,    5.27744,   -6.5,         0
"B1108", 0, 1,    224.719,   -0.9,         0, 2,    224.307, -121.3,         0, 3,    226.061,  119.3,         0, 4,    2.53031,  -85.6,         0
"B163", 0, 1,    213.186,   -3.6,         0, 2,    226.404, -120.8,         0, 3,    218.591,  118.6,         0, 4,    5.35465,   -6.5,         0
"B3225", 0, 1,     214.86,   -3.0,         0, 2,      226.8, -120.7,         0, 3,    219.521,  118.9,         0, 4,    5.03657,    4.0,         0
"B1414", 0, 1,    214.867,   -3.0,         0, 2,    226.801, -120.7,         0, 3,    220.125,  118.9,         0, 4,    5.38134,   -1.4,         0
"B2983", 0, 1,    214.348,   -3.3,         0, 2,    226.514, -120.8,         0, 3,     220.43,  118.9,         0, 4,    5.91704,  -10.4,         0
"B2326", 0, 1,    212.574,   -3.8,         0, 2,    226.631, -120.8,         0, 3,    218.185,  118.5,         0, 4,    5.28518,   -1.8,         0
"B293", 0, 1,    212.574,   -3.8,         0, 2,    226.631, -120.8,         0, 3,    218.185,  118.5,         0, 4,    5.28518,   -1.8,         0
"B1354", 0, 1,    212.398,   -3.9,         0, 2,    226.677, -120.8,         0, 3,    217.476,  118.4,         0, 4,    4.94591,    4.7,         0
"B2071", 0, 1,    212.404,   -3.9,         0, 2,    226.678, -120.8,         0, 3,    218.028,  118.5,         0, 4,    5.24999,   -0.4,         0
"B3307", 0, 1,    229.911,   -0.2,         0, 2,     230.01, -120.2,         0, 3,    230.034,  119.8,         0, 4,    1.34584,   -6.9,         0
"B2291", 0, 1,    225.641,   -0.9,         0, 2,    225.568, -121.2,         0, 3,    227.794,  119.5,         0, 4,    3.22021,  -59.9,         0
"B811", 0, 1,    215.472,   -2.9,         0, 2,    226.761, -120.7,         0, 3,    221.176,  119.0,         0, 4,    5.74376,   -8.0,         0
"B2012", 0, 1,    215.749,   -2.9,         0, 2,    226.753, -120.7,         0, 3,    221.176,  119.0,         0, 4,    5.47936,   -8.4,         0
"B2451", 0, 1,    228.364,   -0.5,         0, 2,    227.895, -120.6,         0, 3,    228.063,  119.4,         0, 4,   0.907935,  -65.8,         0
"B696", 0, 1,    228.365,   -0.5,         0, 2,    228.143, -120.6,         0, 3,    228.063,  119.4,         0, 4,   0.772207,  -51.4,         0
"B2205", 0, 1,    213.361,   -3.3,         0, 2,    225.673, -120.8,         0, 3,     220.42,  118.9,         0, 4,    6.58059,  -16.4,         0
"B137", 0, 1,    229.302,   -0.4,         0, 2,    228.991, -120.4,         0, 3,     227.88,  119.4,         0, 4,   0.271815,  125.7,         0
"B1300", 0, 1,    214.236,   -3.3,         0, 2,    226.505, -120.8,         0, 3,    219.556,  118.8,         0, 4,    5.34236,   -7.0,         0
"B2143", 0, 1,    229.302,   -0.4,         0, 2,    228.991, -120.4,         0, 3,    227.917,  119.4,         0, 4,   0.235093,  126.0,         0
"B2673", 0, 1,    224.599,   -1.0,         0, 2,    224.539, -121.2,         0, 3,    226.271,  119.3,         0, 4,    2.47181,  -77.9,         0
"B954", 0, 1,    224.599,   -1.0,         0, 2,    224.539, -121.2,         0, 3,    226.271,  119.3,         0, 4,    2.47181,  -77.9,         0
"B1950", 0, 1,    220.417,   -2.0,         0, 2,    227.481, -120.6,         0, 3,    224.052,  119.2,         0, 4,    4.09937,  -11.4,         0
"B461", 0, 1,    219.143,   -2.2,         0, 2,     227.24, -120.7,         0, 3,    223.173,  119.1,         0, 4,    4.40771,  -10.4,         0
"B2840", 0, 1,    213.988,   -3.0,         0, 2,    226.657, -120.7,         0, 3,     220.31,  118.9,         0, 4,    6.39889,   -4.8,         0
"B1274", 0, 1,    214.183,   -3.0,         0, 2,    226.652, -120.7,         0, 3,     220.31,  118.9,         0, 4,    6.21202,   -4.9,         0
"B1070", 0, 1,    229.322,   -0.4,         0, 2,    229.064, -120.4,         0, 3,    228.701,  119.5,         0, 4,   0.480344,  -49.3,         0
"B2728", 0, 1,    227.244,   -0.6,         0, 2,    226.937, -120.8,         0, 3,     226.95,  119.4,         0, 4,   0.849835,  -74.7,         0
"B1614", 0, 1,    227.249,   -0.6,         0, 2,    226.941, -120.8,         0, 3,    227.246,  119.4,         0, 4,    1.13656,  -69.9,         0
"B52", 0, 1,    225.633,   -0.9,         0, 2,     224.87, -121.2,         0, 3,    227.797,  119.5,         0, 4,    3.63567,  -69.3,         0
"B1185", 0, 1,    214.546,   -3.1,         0, 2,      226.8, -120.8,         0, 3,    220.031,  118.9,         0, 4,    5.64218,   -1.7,         0
"B3161", 0, 1,    214.551,   -3.1,         0, 2,    226.799, -120.8,         0, 3,    220.361,  118.9,         0, 4,    5.85182,   -4.2,         0
"B206", 0, 1,    228.726,   -0.4,         0, 2,    228.477, -120.5,         0, 3,    228.222,  119.5,         0, 4,    0.56821,  -40.9,         0
"B2271", 0, 1,     224.91,   -1.1,         0, 2,    225.257, -121.3,         0, 3,    227.831,  119.5,         0, 4,    3.70262,  -54.4,         0
"B82", 0, 1,    224.724,   -1.1,         0, 2,    225.622, -121.3,         0, 3,    227.823,  119.5,         0, 4,    3.64699,  -46.9,         0
"B1431", 0, 1,    224.991,   -1.1,         0, 2,    225.616, -121.3,         0, 3,     227.82,  119.5,         0, 4,    3.49056,  -50.3,         0
"B3083", 0, 1,    212.615,   -3.6,         0, 2,    225.694, -120.9,         0, 3,    218.732,  118.6,         0, 4,    5.76358,  -13.9,         0
"B2504", 0, 1,    224.322,   -1.0,         0, 2,    223.764, -121.4,         0, 3,    226.058,  119.3,         0, 4,    3.06271,  -85.2,         0
"B1476", 0, 1,    225.019,   -0.9,         0, 2,    224.597, -121.2,         0, 3,    226.595,  119.3,         0, 4,    2.74725,  -78.9,         0
"B1594", 0, 1,    227.979,   -0.6,         0, 2,    227.902, -120.6,         0, 3,    227.011,  119.2,         0, 4,   0.193643,  158.3,         0
"B506", 0, 1,    227.987,   -0.6,         0, 2,     227.91, -120.6,         0, 3,    227.624,  119.2,         0, 4,    0.46911,  -70.2,         0
"B1094", 0, 1,    224.895,   -1.0,         0, 2,    224.793, -121.2,         0, 3,    227.791,  119.5,         0, 4,    3.91052,  -61.0,         0
"B2149", 0, 1,    224.898,   -1.0,         0, 2,    225.053, -121.2,         0, 3,    227.791,  119.5,         0, 4,    3.77576,  -57.6,         0
